cfips,longitude,latitude,area,pop_per_sq_meter
12113,38.5086167769,-81.9089929263,895302723.0,0.0002112570364649
12115,32.3583825945,-84.0424794131,1037709939.0,0.0004273496700121
12117,35.9530379334,-81.5464366451,1222192494.0,0.0003879675274785
12119,47.1224429081,-112.390455011,8957164719.0,1.5520312996490292e-05
12121,36.3920428566,-86.1567527604,296143584.0,0.0001514501830301
12123,26.1518560378,-80.4558842537,3115289087.0,6.933545939648458e-06
12125,32.3270730707,-98.8323222504,2399644792.0,6.326769716340584e-06
12127,41.1166208296,-84.5801945588,1078561236.0,0.0005205981647202
12129,40.7352022993,-94.2439719124,1386932363.0,2.474453759645956e-05
12131,41.1281451272,-78.9994214565,1689799802.0,4.535921942308288e-05
12133,44.0663458318,-98.6296749711,1362677263.0,1.903018469898694e-05
13001,38.5388085859,-118.435214254,9719815181.0,1.8853239139588945e-06
13003,36.835513749,-94.810429621,1219409732.0,6.882838294421616e-06
13005,35.486983815,-76.8453144055,2155109574.0,5.120853312120268e-06
13007,34.6519495513,-90.3754987097,1177611241.0,2.522903906281581e-06
13009,39.2059705721,-85.8976029732,1054009620.0,4.27880345152827e-05
13011,34.5767017575,-93.150399652,1755025617.0,1.1026619675831204e-05
13013,43.9049970086,-107.68286072,5798138761.0,1.4761288670028089e-05
13015,48.2452683995,-93.7833663013,8041217741.0,1.360813791200633e-05
13017,31.3687302289,-102.043034893,3215010598.0,5.167634598260817e-06
13019,37.7597150131,-122.693975573,121477743.0,0.0001597658922589
13021,39.6302838888,-80.0465441583,932631311.0,0.0001637699680447
13023,34.965857001,-101.896944529,2361896543.0,5.484998925289506e-06
13025,39.1424974869,-92.6962654763,1201237134.0,1.5985186818242334e-05
13027,30.4060343343,-85.1972071433,1469394565.0,1.045124323023476e-05
13029,44.3695852597,-97.491476123,2155483578.0,1.890759011850843e-05
13031,34.0724245507,-101.303234519,2569637283.0,3.145930382268664e-05
13033,44.4888787662,-122.534995075,5923936549.0,3.8231334540244414e-06
13035,35.4012758182,-101.894004898,2352718727.0,1.0807071711636866e-05
13037,36.2927208493,-82.1274783436,883854966.0,7.049799163542857e-06
13039,40.7321421632,-73.585536665,737195890.0,7.513335431102308e-05
13043,36.0766050343,-81.9226013745,640602134.0,1.7147929138806147e-05
13045,44.8895880248,-116.453882862,3529648933.0,3.446036767645866e-05
13047,38.0276014047,-119.95475358,5752029633.0,1.1821218654698818e-05
13049,18.1720935702,-66.9422835125,94851787.0,0.0001415893197668
13051,40.1332239754,-84.6193191365,1549072768.0,0.0001868621061447
13053,37.3785013178,-81.653583786,1381648552.0,7.636529553573476e-06
13055,41.3488242868,-72.8998576911,1565683007.0,1.5867196545488214e-05
13057,42.6712233677,-89.0715652079,1859985958.0,0.0001426215068232
13059,43.4913425333,-83.4398685744,2084165734.0,6.131710061019552e-05
13061,35.7639016515,-90.0541660119,2332481583.0,1.2287342463445295e-06
13063,33.8922415035,-88.4804669083,1981570208.0,0.0001476838917029
13065,34.5303849906,-101.735026846,2305502705.0,2.854908816947148e-06
13067,38.7787375794,-120.524649929,4423299441.0,0.0001724830096122
13069,36.4449435708,-76.7005266521,882181716.0,4.898990674615161e-05
13071,48.77230295,-98.464838016,3856631212.0,1.1808751601214806e-05
13073,28.8678175883,-99.1082667829,2935753506.0,5.462890521027279e-05
13075,43.2974962568,-71.6802764616,2416153059.0,7.156417485884117e-06
13077,32.3968141786,-81.7431781429,1750705245.0,8.616470444172343e-05
13079,34.2254421511,-89.0374096749,1289201637.0,9.487266885932444e-06
13081,30.7882970504,-98.1824471655,2575162935.0,8.556351794493346e-06
13083,32.0784621843,-84.8352023744,1188153055.0,1.3514252168463265e-05
13085,34.901372384,-87.6539980067,1730146078.0,1.567093111082381e-05
13087,36.8590007836,-76.3567086184,86248210.0,0.0003067541923478
13089,33.6745577167,-85.5187680028,1450663786.0,0.0005252829824208
13091,35.8938381553,-86.8986535599,1509623740.0,1.3547746672293325e-05
13093,39.9735467174,-90.247375054,973198204.0,1.353681084269654e-05
13095,43.9891394613,-115.730322485,4919826443.0,1.7577246067905653e-05
13097,47.3529575649,-115.892435463,6830898569.0,2.1664499700171146e-05
13099,42.1212370657,-91.131465421,1490844765.0,6.732424619675276e-06
13101,31.4318270699,-85.6110368183,1453244559.0,2.753837938160827e-06
13103,40.887287897,-109.507612097,1805185914.0,3.643115065875703e-05
13105,34.8633405971,-104.790631134,7847072129.0,2.463976331827598e-06
13107,38.0228983556,-78.5566760673,1866007829.0,1.2061578547642846e-05
13109,31.9736926021,-90.9118133348,1262400022.0,8.426805936795206e-06
13111,32.8624049426,-85.7975022448,1855782851.0,1.4291003920910787e-05
13113,33.616489499,-99.2135151435,2246764582.0,5.1550127204203896e-05
13115,45.934046167,-96.0121840981,1418785986.0,6.949885393074357e-05
13117,37.5073151069,-94.8518113711,1527498535.0,0.0001642207794326
13119,42.9152915059,-71.7160824662,2270197483.0,1.0353284318217174e-05
13121,27.7350347565,-97.516253851,2171176848.0,0.0004962294992194
13123,42.7110535518,-73.5097121399,1689852106.0,1.892354951445674e-05
13125,34.5998564246,-112.553944833,21038727465.0,1.4183367339893436e-07
13127,40.8620042241,-74.5445106674,1193878537.0,7.167228268883771e-05
13129,40.2106416142,-93.1115222539,1678265048.0,3.502426513025969e-05
13131,32.7463149294,-100.916407078,2345090477.0,1.0443520299195688e-05
13133,37.2355230437,-99.8203076918,2524300310.0,7.4622658506110946e-06
13135,43.9906739447,-84.3882463136,1299620448.0,0.0007253094558881
13137,34.6866819092,-80.7054233818,1422080330.0,3.238002736455823e-05
13139,40.9596717781,-74.0742255725,602911111.0,0.000342655818131
13141,18.3969534214,-65.9687553171,117508983.0,7.2283835526004e-05
13143,38.3243487435,-110.903793031,6374011496.0,4.766699906184167e-06
13145,38.7199480156,-87.7267298383,963938131.0,3.742978811572711e-05
13147,40.1400890018,-88.1991706674,2579920046.0,1.0235200909012975e-05
13149,36.1210986495,-95.9414756124,1476502056.0,8.10903036087611e-06
13151,39.7659588693,-81.4555606055,1030846459.0,0.0002319831415359
13153,41.4839220534,-91.1127562492,1132977157.0,0.0001413179418585
13155,38.9240617743,-80.8570836304,876717626.0,1.0706982181740692e-05
13157,34.2799867489,-88.3613228409,1379933023.0,5.521934668563983e-05
13159,44.0272987421,-69.015547485,945697332.0,1.5314624996742615e-05
13161,37.2006875346,-106.191627951,3334423894.0,4.56240732540768e-06
13163,30.4634147938,-91.3127466677,498293566.0,3.0638565379349085e-05
13165,36.7018432696,-76.6340460041,1033802703.0,8.460028180057873e-06
13167,39.6017802193,-94.4045940298,1085094819.0,8.908898863703818e-06
13169,40.2993893945,-83.3715754728,1118161949.0,2.5744929011173134e-05
13171,32.3644009947,-91.2425796995,1617200406.0,1.1910088526158829e-05
13173,42.59926192,-97.252401002,1917219995.0,5.600296276901702e-06
13175,39.8931762515,-94.404709492,1091311297.0,4.353661519917355e-05
13177,38.7478811299,-77.4838087142,25509473.0,0.0011852067661295
13179,18.3686639331,-65.7121531688,66851395.0,0.0009424485457633
13181,41.6846965026,-80.1062776173,2621848897.0,3.0631055852186283e-06
13183,36.2171519061,-83.2666627121,417477308.0,4.831639855261307e-05
13185,33.6076426857,-102.343197183,2352723915.0,5.026854160234096e-05
13187,32.1623552365,-94.3056398565,2101400909.0,1.626819511383394e-05
13189,35.8598655553,-92.1567129536,1570754768.0,1.34725040669111e-05
13191,39.580876381,-118.335778874,12821785223.0,1.1220746370164026e-06
13193,38.9532912889,-96.2050045391,2057320865.0,6.178909773512651e-06
13195,39.4688295112,-74.6337304316,1438776649.0,2.1168678280377063e-05
13197,44.1106889273,-87.5123716853,1526291643.0,5.5795365447074e-06
13199,41.4353818043,-72.5231194296,956493754.0,2.212664736334493e-05
13201,39.7847564917,-100.459899544,2314199329.0,2.4293499395444687e-06
13205,39.6203734727,-81.8526618984,1078538278.0,2.0028959973546715e-05
13207,38.4561871377,-96.1526397502,2194978406.0,1.2775524316479313e-05
13209,35.4855950234,-81.2235326264,766230937.0,1.176146715673528e-05
13211,32.1217203314,-82.3312929099,942778662.0,2.0827794254851303e-05
13213,40.3469033297,-87.3533144839,944543945.0,4.23823583983697e-05
13215,29.7258227162,-82.8003665306,905705573.0,0.0002168938845648
13217,36.6953299477,-77.5356107293,17881071.0,0.0063360298720361
13219,38.3642764332,-86.8798021177,1106611849.0,3.716208175175612e-05
13221,35.0483629463,-96.2501879728,2083606775.0,7.382870983417684e-06
13223,48.2279328059,-112.226687932,4207608384.0,4.120131537412584e-05
13225,36.628673995,-94.3483586551,1397247160.0,2.000361911632012e-05
13227,29.3502075785,-100.417946618,3522525626.0,9.40433186787553e-06
13229,32.6016373737,-92.6648152839,1221806127.0,1.5977985024460432e-05
13231,35.4050346181,-102.602870603,3886337115.0,4.920056967317412e-06
13233,26.9564459351,-81.1890293853,2089001842.0,2.0507401735455244e-05
13235,38.2462130511,-78.0136665279,883475383.0,1.266701960840034e-05
13237,34.3669621021,-86.306636969,1465531863.0,1.536643492274586e-05
13239,40.597165174,-88.2232738465,1257690128.0,1.805691202817488e-06
13241,38.297620662,-78.4668692674,403865093.0,4.276923234858528e-05
13243,13.4427595479,144.769451697,543555844.0,1.229312512000147e-05
13245,40.2938389348,-81.0911358771,1042032640.0,0.0001939277065255
13247,28.9057389627,-97.8594018287,1936008333.0,4.6972421786575024e-05
13249,39.6441138538,-90.474747165,649542040.0,7.999482219811361e-06
13251,43.560975208,-73.8460059552,2246082355.0,6.238417736022863e-06
13253,45.8991791693,-91.7912346303,2064515990.0,3.904062762914227e-06
13255,31.5291972743,-84.6245076946,726191502.0,9.283226230868232e-05
13257,27.4267108244,-97.6683877685,2282572445.0,1.1437534023153424e-05
13259,40.4162956557,-75.9259989042,2218082423.0,3.0156679168635203e-06
13261,42.3706766098,-73.2064122879,2400600620.0,1.2197780737055711e-05
13263,35.3341018022,-81.5555471412,1202311340.0,5.10932550964711e-06
13265,41.6848582046,-94.0397619265,1523741177.0,1.025108478774148e-06
13267,36.3965102811,-78.1067171324,1112117463.0,2.2807842556105963e-05
13269,33.9879970441,-98.7035507511,1625459969.0,4.967209377027728e-06
13271,35.151021226,-76.6694598427,871546184.0,1.810690046002198e-05
13273,37.872051318,-84.5809372528,445905563.0,1.9113912691867448e-05
13275,35.2021508952,-87.0347773688,1582304830.0,2.8042637018304493e-05
13277,37.2372753377,-97.4765502094,3060472194.0,1.3304809656440878e-05
13279,34.6463905658,-83.747108233,623522401.0,4.325907129678249e-05
13281,31.6767316888,-92.1604365033,1617925445.0,7.569570055188792e-06
13283,41.6715248584,-91.5881018852,1587640014.0,4.296943853671352e-06
13285,64.8077661564,-146.565422856,18983544936.0,3.6986769455713e-06
13287,18.2683832042,-65.5592543864,75201647.0,0.0001048115342473
13289,34.0244909939,-79.7029792115,2073312305.0,3.9082389953789424e-06
13291,45.2732429118,-93.2464685787,1092880512.0,2.320290253286171e-05
13293,38.3694102763,-75.6315310797,969744608.0,2.735462489934257e-05
13295,40.5548298977,-104.392531357,10320918528.0,6.793581386170206e-06
13297,40.5310649083,-77.4021626656,1013695972.0,9.556612897343148e-05
13299,43.6407681919,-85.3246335487,1437772998.0,2.491770262053565e-05
13301,34.5292014575,-100.207574947,1803954627.0,2.9002946757596025e-06
13303,36.9935767676,-86.4237993498,1403048148.0,1.4361588395040597e-05
13305,40.7476890807,-92.4097172922,1300661911.0,2.308286246109655e-05
13307,29.2822055783,-82.7886132018,2896183010.0,8.960069135962509e-07
13309,37.8246250522,-92.2076625405,1417013177.0,5.4699561908167065e-06
13311,41.9127594294,-99.9768991117,1840673981.0,1.689272533917564e-05
13313,32.7428202205,-100.402168105,2328272102.0,4.459830958366223e-05
13315,31.5492717947,-82.8492009827,1533928847.0,5.542629970502146e-06
13317,42.3838803185,-93.2404024994,1474505068.0,6.574409413966152e-06
13319,33.7722424167,-81.9664425704,1296926762.0,6.794523991787287e-06
13321,42.9845979293,-71.0890593426,1801042583.0,1.108913258826596e-05
15001,41.244097338,-85.8607176828,1376412110.0,0.0001477319172961
15003,30.3323725105,-94.3902216019,2306612357.0,0.0004178534798337
15005,42.781081385,-76.8237785954,838403628.0,1.0376863493248149e-07
15007,38.6807283768,-79.350893592,1802759655.0,3.9856117148350536e-05
15009,45.4052565917,-120.689371728,2133151636.0,7.871076634516385e-05
16001,39.177573113,-122.237029616,2980332742.0,0.0001658871820024
16003,40.3113452381,-86.0518589748,674797609.0,6.590124121201503e-06
16005,45.7721844848,-96.4716413553,1486320975.0,5.9741470041489525e-05
16007,36.1772228503,-76.4076199893,640169367.0,9.595898080515308e-06
16009,32.0931465237,-93.3398791457,1007742987.0,9.357544653396828e-06
16011,33.1782312871,-99.7303000091,2339103809.0,2.0179523379160985e-05
16013,35.9193387894,-97.4433173291,1926542719.0,1.2159605789670528e-05
16015,29.8468719706,-93.1988964755,3327796101.0,2.423525887771932e-06
16017,32.4299283238,-97.8322675076,1089630253.0,4.296595094629775e-05
16019,44.4123213669,-100.735943173,3741060733.0,3.264689047217347e-05
16021,31.6766595802,-87.8308098507,3207494106.0,3.945759394015859e-06
16023,30.9149468971,-82.7062370645,2110829176.0,1.2535358285193609e-06
16025,42.7356225783,-95.6238053959,1494181147.0,7.562670712776702e-07
16027,34.7806229431,-90.7820673213,1560781755.0,0.000151880939946
16029,31.8673305599,-85.0187841576,391703076.0,1.8184692529705844e-05
16031,41.7924983178,-73.2453207905,2384120288.0,1.0182791582368349e-05
16033,69.3634118461,-153.510605515,230054247231.0,3.7034743337926615e-09
16035,43.997787332,-69.5257592569,1180688991.0,7.492235523012512e-06
16037,37.2691767895,-76.707596151,23155310.0,0.0001835000265597
16039,31.8691725205,-102.542749193,2325322369.0,1.180395474017822e-05
16041,35.8989479924,-82.3076279784,809610027.0,1.7557835903630675e-05
16043,34.0685270235,-102.829913123,2141847187.0,6.171308616332207e-06
16045,38.0335228018,-83.913088975,511132776.0,3.659127506235288e-05
16047,37.191593361,-89.3376041231,609667772.0,2.5617230756294595e-05
16049,42.3558758962,-114.667148472,4977200216.0,3.3800127119499427e-06
16051,44.7162390791,-85.5522032462,1202625065.0,2.54285403572559e-05
16053,38.8665005829,-97.152702787,2193894223.0,1.1202910214327138e-05
16055,35.6883600988,-99.6957077129,2955503143.0,5.773230199538989e-05
16057,34.3951111298,-81.1212291623,1777521231.0,2.2970189772096172e-05
16059,17.9972184165,-66.4903715317,156117101.0,5.158947961761088e-05
16061,39.9710617874,-103.201252881,6521806798.0,5.884872273703316e-07
16063,32.74369415,-101.431748795,2324366073.0,2.3051446423344867e-06
16065,39.7834476063,-96.0141016624,1858127940.0,2.169818295719723e-05
16067,38.446389504,-120.651115621,1539933596.0,1.3777217443082529e-05
16069,34.6466183905,-92.676575561,1874047317.0,2.174704962372089e-05
16071,37.2381964095,-100.36618026,2533222397.0,1.7842886614901505e-06
16073,48.2591824926,-107.913235675,13313777226.0,9.113116281009944e-07
16075,45.367151587,-97.6074090049,2663788603.0,9.29916134189572e-06
16077,40.7456599313,-84.9366547189,877815499.0,8.706841026054838e-06
16079,30.6484687349,-93.343338993,2997555223.0,4.307176695506704e-06
16081,31.8133256702,-95.6525471812,2752201306.0,4.542182278871428e-06
16083,38.0267183008,-77.3470467441,1366502847.0,6.46987309203901e-05
16085,45.1719349421,-96.7676947106,1764937242.0,6.681257395100058e-06
16087,40.31072723,-79.4669607014,2662612862.0,3.8909148783342725e-06
17001,48.7751394251,-95.8108171586,4329471929.0,1.4963256734860792e-05
17003,46.291133814,-123.433469914,680962890.0,8.072392902350376e-06
17005,40.5111130544,-99.4145428942,1398048600.0,1.1631927530988553e-05
17007,33.5938097958,-96.1068276828,2307251018.0,2.287440750410799e-05
17009,39.7880806129,-95.1467942431,1019105691.0,6.4232788196646425e-06
17011,55.4885148595,-131.030510343,12579378509.0,2.567932905181969e-06
17013,35.7933524917,-80.2127487756,1432727271.0,3.2218274150516955e-06
17015,41.7721614458,-77.2542641766,2936458661.0,4.849719217620547e-06
17017,41.4068465707,-118.111965828,24969533319.0,4.775820135543319e-07
17019,38.8868296401,-89.4355442381,985073265.0,0.0002123618693478
17021,32.0016607751,-91.3400729965,1561204507.0,2.0545034206719723e-05
17023,37.764043073,-107.676147275,1003660672.0,1.521231271279702e-05
17025,42.4321558891,-122.728517877,7208597903.0,1.8143611526115108e-06
17027,41.5490215572,-86.7423662187,1549512632.0,2.4135330830913806e-05
17029,39.0026980674,-87.7595511478,1149031255.0,4.3848241534561216e-05
17031,41.60179891,-84.130079524,1050103171.0,0.0048645543991029
17033,43.3773984485,-93.2608475497,1036314923.0,1.7863295788899875e-05
17035,39.1034546659,-85.262386374,1156231106.0,9.210096445891677e-06
17037,32.9143722298,-85.3920429513,1545085607.0,6.762796800811826e-05
17039,37.9922926916,-88.9241655023,1059101590.0,1.4510411602724531e-05
17041,36.1408328072,-85.495190724,1038860580.0,1.8780190889522444e-05
17043,48.792167798,-100.833304016,4321075833.0,0.0002123269841721
17045,44.0071075264,-95.1811530449,1657522315.0,1.0170602137564586e-05
17047,33.9972551652,-94.2412727038,1464132101.0,4.34113834104099e-06
17049,61.1482627033,-149.188568553,4420591351.0,7.70598259264431e-06
17051,40.8553982409,-84.5860991255,1059702138.0,2.0066015946832034e-05
17053,45.0073838126,-85.1758221578,1232002671.0,1.0510529161019975e-05
17055,42.2484873981,-84.423437303,1817863745.0,2.093666266500078e-05
17057,30.7687104974,-89.5897506359,2101267284.0,1.6033181621648473e-05
17059,38.9334528592,-84.5333168381,415149811.0,1.154522987365638e-05
17061,36.4411634364,-82.9446876646,1261465131.0,1.006924384024056e-05
17063,45.7055576976,-89.5218199491,2885097073.0,1.767462193116994e-05
17065,32.7325534614,-91.2350651111,1089628528.0,7.41904217103978e-06
17067,37.7201835062,-84.2779980048,1132738966.0,1.5380419075298235e-05
17069,32.3790131031,-97.3663297978,1877798304.0,2.0279068267813283e-06
17071,41.0469632989,-86.2635836849,954133353.0,6.849147427298876e-06
17073,32.3572296163,-90.852011211,1524286571.0,3.1759775964069684e-05
17075,34.316890097,-83.81967864,1017862667.0,2.6242243542271504e-05
17077,39.599307179,-107.903956154,7633795354.0,7.424223125172344e-06
17079,18.0795649599,-66.8582828252,175371927.0,5.397100985267728e-05
17081,42.1351123414,-72.6316491133,1598023769.0,2.330065467255262e-05
17083,43.3779847631,-95.1508300608,985542270.0,2.1933102879493947e-05
17085,38.7386464353,-77.8092394301,1678327963.0,1.265485677902633e-05
17087,46.6354343394,-91.1806847226,3827675487.0,3.2285913583770848e-06
17089,38.1178916805,-83.0976163428,606882499.0,0.0008749799193006
17091,39.1511464297,-119.747422249,374670880.0,0.0002898383776182
17093,31.8796370864,-109.751263137,16083174724.0,8.122650051488677e-06
17095,29.9499595746,-82.1687777662,761362115.0,6.442794963602831e-05
17097,31.2308171304,-89.8224429891,1404769586.0,0.0004937414697131
17099,18.0244444435,-66.7279463804,115558557.0,0.000930878705936
17101,37.731927576,-79.3568295188,16674748.0,0.0009275702397421
17103,46.096820597,-102.528498668,2557733901.0,1.315500411784236e-05
17105,30.7712321484,-94.3765939282,2394158696.0,1.4791834834995416e-05
17107,36.0105961,-104.944975073,4988962825.0,5.6891584474775074e-06
