date,Iron County Tax,isPartial
2018-02-25,53,False
2018-03-04,43,False
2018-03-11,28,False
2018-03-18,0,False
2018-03-25,44,False
2018-04-01,0,False
2018-04-08,43,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,77,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,60,False
2018-08-12,0,False
2018-08-19,23,False
2018-08-26,0,False
2018-09-02,65,False
2018-09-09,19,False
2018-09-16,0,False
2018-09-23,41,False
2018-09-30,21,False
2018-10-07,22,False
2018-10-14,38,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,41,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,79,False
2019-01-06,0,False
2019-01-13,36,False
2019-01-20,22,False
2019-01-27,40,False
2019-02-03,0,False
2019-02-10,29,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,26,False
2019-03-10,38,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,52,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,0,False
2019-06-02,50,False
2019-06-09,53,False
2019-06-16,41,False
2019-06-23,0,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,22,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,30,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,48,False
2019-09-29,35,False
2019-10-06,32,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,39,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,20,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,38,False
2020-01-05,23,False
2020-01-12,48,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,33,False
2020-02-09,35,False
2020-02-16,36,False
2020-02-23,20,False
2020-03-01,45,False
2020-03-08,0,False
2020-03-15,33,False
2020-03-22,45,False
2020-03-29,0,False
2020-04-05,43,False
2020-04-12,41,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,46,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,41,False
2020-06-21,0,False
2020-06-28,0,False
2020-07-05,31,False
2020-07-12,31,False
2020-07-19,32,False
2020-07-26,0,False
2020-08-02,19,False
2020-08-09,0,False
2020-08-16,0,False
2020-08-23,0,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,26,False
2020-09-27,0,False
2020-10-04,0,False
2020-10-11,0,False
2020-10-18,0,False
2020-10-25,23,False
2020-11-01,30,False
2020-11-08,30,False
2020-11-15,100,False
2020-11-22,0,False
2020-11-29,44,False
2020-12-06,25,False
2020-12-13,0,False
2020-12-20,26,False
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,20,False
2021-01-17,0,False
2021-01-24,41,False
2021-01-31,49,False
2021-02-07,19,False
