cfips,AE_dim_1,AE_dim_2,AE_dim_3,AE_dim_4,AE_dim_5,AE_dim_6,AE_dim_7,AE_dim_8,AE_dim_9,AE_dim_10
01001,-0.0007403790950775146,0.00023508816957473755,4.382804036140442e-05,0.00027854740619659424,6.705522537231445e-08,0.00010609440505504608,-6.459280848503113e-05,0.00024095922708511353,-0.00028228759765625,-0.0007301867008209229
01003,0.000354178249835968,-0.00024446845054626465,-5.04031777381897e-05,-4.8764050006866455e-06,-0.00013532349839806557,-0.0003332216292619705,0.00011099502444267273,0.00010434538125991821,1.1339783668518066e-05,0.0001643747091293335
01005,-0.00036372244358062744,0.00012208521366119385,2.4139881134033203e-05,0.0001485571265220642,-0.00016670813784003258,-2.3495405912399292e-05,2.8073787689208984e-05,3.97413969039917e-05,-8.006393909454346e-05,-0.0005048215389251709
01007,9.164214134216309e-06,-0.00019697099924087524,0.0009249858558177948,0.00024513527750968933,-0.0003897384740412235,-0.0004776902496814728,0.000115908682346344,-0.00038686394691467285,3.203004598617554e-05,0.0003539621829986572
01009,-0.0001765042543411255,-3.8176774978637695e-05,4.860013723373413e-05,0.00019298866391181946,-0.00021005887538194656,-0.00032501108944416046,-2.070888876914978e-05,3.56137752532959e-06,-0.00011751800775527954,-0.00038154423236846924
01011,-0.00030402839183807373,7.319450378417969e-05,-0.00019397959113121033,0.00012866035103797913,-5.941884592175484e-05,0.00013154372572898865,-3.930181264877319e-05,0.00015842169523239136,-0.00011739879846572876,-0.00040383636951446533
01013,0.00017060339450836182,-0.0003635138273239136,0.0006293430924415588,8.48621129989624e-05,-0.00027068890631198883,-0.0005921665579080582,0.00015223026275634766,-0.00015884637832641602,7.927417755126953e-06,0.0003066807985305786
01015,-8.806586265563965e-05,-9.254366159439087e-05,-0.0001906752586364746,5.5145472288131714e-05,-0.00012387288734316826,-0.00028993189334869385,-3.959983587265015e-06,0.00014753639698028564,-0.00010882318019866943,-0.0004384070634841919
01017,0.00014819204807281494,-0.0002272576093673706,0.00015414506196975708,0.00010792165994644165,-0.00022466573864221573,-0.0005142614245414734,-2.855435013771057e-05,3.497302532196045e-05,-0.00012318789958953857,-4.668533802032471e-05
01019,-7.667392492294312e-05,-0.00010653585195541382,-0.0001052655279636383,0.00010114163160324097,-0.00015062931925058365,-0.00022398121654987335,2.518296241760254e-06,0.0001222565770149231,-0.00010607391595840454,-0.00029599666595458984
